title,venue,year,author,volume,url
Invariant Aggregator for Defending against Federated Backdoor Attacks.,AISTATS,2024,"Xiaoyang Wang, Dimitrios Dimitriadis, Sanmi Koyejo, Shruti Tople",,https://proceedings.mlr.press/v238/wang24e.html
On the (In)feasibility of ML Backdoor Detection as an Hypothesis Testing Problem.,AISTATS,2024,"Georg Pichler, Marco Romanelli 0002, Divya Prakash Manivannan, Prashanth Krishnamurthy, Farshad Khorrami, Siddharth Garg",,https://proceedings.mlr.press/v238/pichler24a.html
Optimal Smoothing Distribution Exploration for Backdoor Neutralization in Deep Learning-based Traffic Systems.,ANZCC,2024,"Yue Wang 0055, Wenqing Li, Michail Maniatakos, Saif Eddin Jabari",,https://doi.org/10.1109/ANZCC59813.2024.10432866
Imperceptible and multi-channel backdoor attack.,Appl. Intell.,2024,"Mingfu Xue, Shifeng Ni, Yinghao Wu, Yushu Zhang, Weiqiang Liu 0010",54,https://doi.org/10.1007/s10489-023-05228-6
Backdoor Attacks and Generative Model Fairness: Current Trends and Future Research Directions.,COMSNETS,2024,"Ryan Holland, Shantanu Pal, Lei Pan 0002, Leo Yu Zhang",,https://doi.org/10.1109/COMSNETS59351.2024.10427172
A Backdoor Approach with Inverted Labels Using Dirty Label-Flipping Attacks.,CoRR,2024,,abs/2404.00076,https://doi.org/10.48550/arXiv.2404.00076
A backdoor attack against link prediction tasks with graph neural networks.,CoRR,2024,"Jiazhu Dai, Haoyu Sun",abs/2401.02663,https://doi.org/10.48550/arXiv.2401.02663
A clean-label graph backdoor attack method in node classification task.,CoRR,2024,"Xiaogang Xing, Ming Xu, Yujing Bai, Dongdong Yang",abs/2401.00163,https://doi.org/10.48550/arXiv.2401.00163
A general approach to enhance the survivability of backdoor attacks by decision path coupling.,CoRR,2024,"Yufei Zhao, Dingji Wang, Bihuan Chen 0001, Ziqian Chen, Xin Peng 0001",abs/2403.02950,https://doi.org/10.48550/arXiv.2403.02950
AS-FIBA: Adaptive Selective Frequency-Injection for Backdoor Attack on Deep Face Restoration.,CoRR,2024,"Zhenbo Song, Wenhao Gao, Kaihao Zhang, Wenhan Luo, Zhaoxin Fan, Jianfeng Lu",abs/2403.06430,https://doi.org/10.48550/arXiv.2403.06430
Acquiring Clean Language Models from Backdoor Poisoned Datasets by Downscaling Frequency Space.,CoRR,2024,"Zongru Wu, Zhuosheng Zhang 0001, Pengzhou Cheng, Gongshen Liu",abs/2402.12026,https://doi.org/10.48550/arXiv.2402.12026
Advancing Security in AI Systems: A Novel Approach to Detecting Backdoors in Deep Neural Networks.,CoRR,2024,"Khondoker Murad Hossain, Tim Oates 0001",abs/2403.08208,https://doi.org/10.48550/arXiv.2403.08208
An Embarrassingly Simple Defense Against Backdoor Attacks On SSL.,CoRR,2024,"Aryan Satpathy, Nilaksh Nilaksh, Dhruva Rajwade",abs/2403.15918,https://doi.org/10.48550/arXiv.2403.15918
Architectural Neural Backdoors from First Principles.,CoRR,2024,"Harry Langford, Ilia Shumailov, Yiren Zhao, Robert D. Mullins, Nicolas Papernot",abs/2402.06957,https://doi.org/10.48550/arXiv.2402.06957
Backdoor Attack on Unpaired Medical Image-Text Foundation Models: A Pilot Study on MedCLIP.,CoRR,2024,"Ruinan Jin, Chun-Yin Huang, Chenyu You, Xiaoxiao Li",abs/2401.01911,https://doi.org/10.48550/arXiv.2401.01911
Backdoor Attack with Mode Mixture Latent Modification.,CoRR,2024,"Hongwei Zhang, Xiaoyin Xu, Dongsheng An, Xianfeng Gu, Min Zhang",abs/2403.07463,https://doi.org/10.48550/arXiv.2403.07463
Backdoor Attacks on Dense Passage Retrievers for Disseminating Misinformation.,CoRR,2024,"Quanyu Long, Yue Deng 0010, Leilei Gan, Wenya Wang, Sinno Jialin Pan",abs/2402.13532,https://doi.org/10.48550/arXiv.2402.13532
Backdoor Secrets Unveiled: Identifying Backdoor Data with Optimized Scaled Prediction Consistency.,CoRR,2024,"Soumyadeep Pal, Yuguang Yao, Ren Wang 0008, Bingquan Shen, Sijia Liu 0001",abs/2403.10717,https://doi.org/10.48550/arXiv.2403.10717
BackdoorBench: A Comprehensive Benchmark and Analysis of Backdoor Learning.,CoRR,2024,"Baoyuan Wu, Hongrui Chen, Mingda Zhang, Zihao Zhu, Shaokui Wei, Danni Yuan, Mingli Zhu, Ruotong Wang 0008, Li Liu, Chao Shen",abs/2401.15002,https://doi.org/10.48550/arXiv.2401.15002
BadChain: Backdoor Chain-of-Thought Prompting for Large Language Models.,CoRR,2024,"Zhen Xiang, Fengqing Jiang, Zidi Xiong, Bhaskar Ramasubramanian, Radha Poovendran, Bo Li",abs/2401.12242,https://doi.org/10.48550/arXiv.2401.12242
BadEdit: Backdooring large language models by model editing.,CoRR,2024,"Yanzhou Li, Tianlin Li, Kangjie Chen, Jian Zhang, Shangqing Liu, Wenhan Wang, Tianwei Zhang 0004, Yang Liu",abs/2403.13355,https://doi.org/10.48550/arXiv.2403.13355
Can We Trust the Unlabeled Target Data? Towards Backdoor Attack and Defense on Model Adaptation.,CoRR,2024,"Lijun Sheng, Jian Liang, Ran He 0001, Zilei Wang, Tieniu Tan",abs/2401.06030,https://doi.org/10.48550/arXiv.2401.06030
Clean-image Backdoor Attacks.,CoRR,2024,"Dazhong Rong, Guoyao Yu, Shuheng Shen, Xinyi Fu, Peng Qian, Jianhai Chen, Qinming He, Xing Fu, Weiqiang Wang",abs/2403.15010,https://doi.org/10.48550/arXiv.2403.15010
Defending Against Weight-Poisoning Backdoor Attacks for Parameter-Efficient Fine-Tuning.,CoRR,2024,"Shuai Zhao, Leilei Gan, Luu Anh Tuan, Jie Fu, Lingjuan Lyu, Meihuizi Jia, Jinming Wen",abs/2402.12168,https://doi.org/10.48550/arXiv.2402.12168
DisDet: Exploring Detectability of Backdoor Attack on Diffusion Models.,CoRR,2024,"Yang Sui, Huy Phan, Jinqi Xiao, Tianfang Zhang, Zijie Tang, Cong Shi 0004, Yan Wang 0003, Yingying Chen 0001, Bo Yuan",abs/2402.02739,https://doi.org/10.48550/arXiv.2402.02739
End-to-End Anti-Backdoor Learning on Images and Time Series.,CoRR,2024,"Yujing Jiang, Xingjun Ma, Sarah Monazam Erfani, Yige Li, James Bailey 0001",abs/2401.03215,https://doi.org/10.48550/arXiv.2401.03215
Generating Potent Poisons and Backdoors from Scratch with Guided Diffusion.,CoRR,2024,"Hossein Souri, Arpit Bansal, Hamid Kazemi, Liam Fowl, Aniruddha Saha, Jonas Geiping, Andrew Gordon Wilson, Rama Chellappa, Tom Goldstein, Micah Goldblum",abs/2403.16365,https://doi.org/10.48550/arXiv.2403.16365
Here&apos;s a Free Lunch: Sanitizing Backdoored Models with Model Merge.,CoRR,2024,"Ansh Arora, Xuanli He, Maximilian Mozes, Srinibas Swain, Mark Dras, Qiongkai Xu",abs/2402.19334,https://doi.org/10.48550/arXiv.2402.19334
Impart: An Imperceptible and Effective Label-Specific Backdoor Attack.,CoRR,2024,"Jingke Zhao, Zan Wang, Yongwei Wang, Lanjun Wang",abs/2403.13017,https://doi.org/10.48550/arXiv.2403.13017
Imperio: Language-Guided Backdoor Attacks for Arbitrary Model Control.,CoRR,2024,"Ka Ho Chow, Wenqi Wei, Lei Yu 0002",abs/2401.01085,https://doi.org/10.48550/arXiv.2401.01085
Invisible Backdoor Attack Through Singular Value Decomposition.,CoRR,2024,"Wenmin Chen, Xiaowei Xu",abs/2403.13018,https://doi.org/10.48550/arXiv.2403.13018
Is It Possible to Backdoor Face Forgery Detection with Natural Triggers?,CoRR,2024,"Xiaoxuan Han, Songlin Yang, Wei Wang 0025, Ziwen He, Jing Dong 0003",abs/2401.00414,https://doi.org/10.48550/arXiv.2401.00414
LOTUS: Evasive and Resilient Backdoor Attacks through Sub-Partitioning.,CoRR,2024,"Siyuan Cheng 0005, Guanhong Tao 0001, Yingqi Liu, Guangyu Shen, Shengwei An, Shiwei Feng 0002, Xiangzhe Xu, Kaiyuan Zhang 0002, Shiqing Ma, Xiangyu Zhang",abs/2403.17188,https://doi.org/10.48550/arXiv.2403.17188
Learning Backdoors for Mixed Integer Programs with Contrastive Learning.,CoRR,2024,"Junyang Cai, Taoan Huang, Bistra Dilkina",abs/2401.10467,https://doi.org/10.48550/arXiv.2401.10467
Low-Frequency Black-Box Backdoor Attack via Evolutionary Algorithm.,CoRR,2024,"Yanqi Qiao, Dazhuang Liu, Rui Wang 0070, Kaitai Liang",abs/2402.15653,https://doi.org/10.48550/arXiv.2402.15653
MalModel: Hiding Malicious Payload in Mobile Deep Learning Models with Black-box Backdoor Attack.,CoRR,2024,"Jiayi Hua, Kailong Wang, Meizhen Wang, Guangdong Bai, Xiapu Luo, Haoyu Wang 0001",abs/2401.02659,https://doi.org/10.48550/arXiv.2401.02659
MirrorAttack: Backdoor Attack on 3D Point Cloud with a Distorting Mirror.,CoRR,2024,"Yuhao Bian, Shengjing Tian, Xiuping Liu",abs/2403.05847,https://doi.org/10.48550/arXiv.2403.05847
Mitigating Fine-tuning Jailbreak Attack with Backdoor Enhanced Alignment.,CoRR,2024,"Jiongxiao Wang, Jiazhao Li, Yiquan Li, Xiangyu Qi, Junjie Hu, Yixuan Li, Patrick McDaniel, Muhao Chen, Bo Li, Chaowei Xiao",abs/2402.14968,https://doi.org/10.48550/arXiv.2402.14968
Model Pairing Using Embedding Translation for Backdoor Attack Detection on Open-Set Classification Tasks.,CoRR,2024,"Alexander Unnervik, Hatef Otroshi-Shahreza, Anjith George, Sébastien Marcel",abs/2402.18718,https://doi.org/10.48550/arXiv.2402.18718
Model X-ray: Detect Backdoored Models via Decision Boundary.,CoRR,2024,"Yanghao Su, Jie Zhang, Ting Xu, Tianwei Zhang, Weiming Zhang 0001, Nenghai Yu",abs/2402.17465,https://doi.org/10.48550/arXiv.2402.17465
Mudjacking: Patching Backdoor Vulnerabilities in Foundation Models.,CoRR,2024,"Hongbin Liu, Michael K. Reiter, Neil Zhenqiang Gong",abs/2402.14977,https://doi.org/10.48550/arXiv.2402.14977
"Multi-Trigger Backdoor Attacks: More Triggers, More Threats.",CoRR,2024,"Yige Li, Xingjun Ma, Jiabo He, Hanxun Huang, Yu-Gang Jiang",abs/2401.15295,https://doi.org/10.48550/arXiv.2401.15295
Object-oriented backdoor attack against image captioning.,CoRR,2024,"Meiling Li, Nan Zhong, Xinpeng Zhang 0001, Zhenxing Qian, Sheng Li 0006",abs/2401.02600,https://doi.org/10.48550/arXiv.2401.02600
On the Effectiveness of Distillation in Mitigating Backdoors in Pre-trained Encoder.,CoRR,2024,"Tingxu Han, Shenghan Huang, Ziqi Ding, Weisong Sun, Yebo Feng, Chunrong Fang, Jun Li, Hanwei Qian, Cong Wu, Quanjun Zhang, Yang Liu, Zhenyu Chen",abs/2403.03846,https://doi.org/10.48550/arXiv.2403.03846
OrderBkd: Textual backdoor attack through repositioning.,CoRR,2024,"Irina Alekseevskaia, Konstantin Arkhipenko",abs/2402.07689,https://doi.org/10.48550/arXiv.2402.07689
Poisoned Forgery Face: Towards Backdoor Attacks on Face Forgery Detection.,CoRR,2024,"Jiawei Liang, Siyuan Liang, Aishan Liu, Xiaojun Jia, Junhao Kuang, Xiaochun Cao",abs/2402.11473,https://doi.org/10.48550/arXiv.2402.11473
Privacy Backdoors: Enhancing Membership Inference through Poisoning Pre-trained Models.,CoRR,2024,"Yuxin Wen, Leo Marchyok, Sanghyun Hong 0001, Jonas Geiping, Tom Goldstein, Nicholas Carlini",abs/2404.01231,https://doi.org/10.48550/arXiv.2404.01231
Privacy Backdoors: Stealing Data with Corrupted Pretrained Models.,CoRR,2024,"Shanglun Feng, Florian Tramèr",abs/2404.00473,https://doi.org/10.48550/arXiv.2404.00473
REPQC: Reverse Engineering and Backdooring Hardware Accelerators for Post-quantum Cryptography.,CoRR,2024,"Samuel Pagliarini, Aikata, Malik Imran, Sujoy Sinha Roy",abs/2403.09352,https://doi.org/10.48550/arXiv.2403.09352
Real is not True: Backdoor Attacks Against Deepfake Detection.,CoRR,2024,"Hong Sun, Ziqiang Li, Lei Liu, Bin Li",abs/2403.06610,https://doi.org/10.48550/arXiv.2403.06610
Revealing Vulnerabilities of Neural Networks in Parameter Learning and Defense Against Explanation-Aware Backdoors.,CoRR,2024,"Md Abdul Kadir, Gowtham Krishna Addluri, Daniel Sonntag",abs/2403.16569,https://doi.org/10.48550/arXiv.2403.16569
SSL-OTA: Unveiling Backdoor Threats in Self-Supervised Learning for Object Detection.,CoRR,2024,"Qiannan Wang, Changchun Yin, Liming Fang 0001, Lu Zhou 0002, Zhe Liu 0001, Run Wang, Chenhao Lin",abs/2401.00137,https://doi.org/10.48550/arXiv.2401.00137
Securing GNNs: Explanation-Based Identification of Backdoored Training Graphs.,CoRR,2024,"Jane Downer, Ren Wang, Binghui Wang",abs/2403.18136,https://doi.org/10.48550/arXiv.2403.18136
Spikewhisper: Temporal Spike Backdoor Attacks on Federated Neuromorphic Learning over Low-power Devices.,CoRR,2024,"Hanqing Fu, Gaolei Li, Jun Wu 0001, Jianhua Li 0001, Xi Lin 0003, Kai Zhou 0001, Yuchen Liu",abs/2403.18607,https://doi.org/10.48550/arXiv.2403.18607
Spy-Watermark: Robust Invisible Watermarking for Backdoor Attack.,CoRR,2024,"Ruofei Wang, Renjie Wan, Zongyu Guo, Qing Guo, Rui Huang",abs/2401.02031,https://doi.org/10.48550/arXiv.2401.02031
Syntactic Ghost: An Imperceptible General-purpose Backdoor Attacks on Pre-trained Language Models.,CoRR,2024,"Pengzhou Cheng, Wei Du, Zongru Wu, Fengwei Zhang, Libo Chen, Gongshen Liu",abs/2402.18945,https://doi.org/10.48550/arXiv.2402.18945
TEN-GUARD: Tensor Decomposition for Backdoor Attack Detection in Deep Neural Networks.,CoRR,2024,"Khondoker Murad Hossain, Tim Oates 0001",abs/2401.05432,https://doi.org/10.48550/arXiv.2401.05432
Task-Agnostic Detector for Insertion-Based Backdoor Attacks.,CoRR,2024,"Weimin Lyu, Xiao Lin, Songzhu Zheng, Lu Pang 0006, Haibin Ling, Susmit Jha, Chao Chen",abs/2403.17155,https://doi.org/10.48550/arXiv.2403.17155
Test-Time Backdoor Attacks on Multimodal Large Language Models.,CoRR,2024,"Dong Lu, Tianyu Pang, Chao Du, Qian Liu, Xianjun Yang, Min Lin",abs/2402.08577,https://doi.org/10.48550/arXiv.2402.08577
The Art of Deception: Robust Backdoor Attack using Dynamic Stacking of Triggers.,CoRR,2024,,abs/2401.01537,https://doi.org/10.48550/arXiv.2401.01537
"The Stronger the Diffusion Model, the Easier the Backdoor: Data Poisoning to Induce Copyright Breaches Without Adjusting Finetuning Pipeline.",CoRR,2024,"Haonan Wang, Qianli Shen, Yao Tong, Yang Zhang, Kenji Kawaguchi",abs/2401.04136,https://doi.org/10.48550/arXiv.2401.04136
The last Dance : Robust backdoor attack via diffusion models and bayesian approach.,CoRR,2024,,abs/2402.05967,https://doi.org/10.48550/arXiv.2402.05967
Time-Distributed Backdoor Attacks on Federated Spiking Learning.,CoRR,2024,"Gorka Abad, Stjepan Picek, Aitor Urbieta",abs/2402.02886,https://doi.org/10.48550/arXiv.2402.02886
TransTroj: Transferable Backdoor Attacks to Pre-trained Models via Embedding Indistinguishability.,CoRR,2024,"Hao Wang, Tao Xiang 0001, Shangwei Guo, Jialing He, Hangcheng Liu, Tianwei Zhang 0004",abs/2401.15883,https://doi.org/10.48550/arXiv.2401.15883
UFID: A Unified Framework for Input-level Backdoor Detection on Diffusion Models.,CoRR,2024,"Zihan Guan 0001, Mengxuan Hu, Sheng Li 0001, Anil Vullikanti",abs/2404.01101,https://doi.org/10.48550/arXiv.2404.01101
Universal Post-Training Reverse-Engineering Defense Against Backdoors in Deep Neural Networks.,CoRR,2024,"Xi Li, Hang Wang, David J. Miller 0001, George Kesidis",abs/2402.02034,https://doi.org/10.48550/arXiv.2402.02034
Universal Vulnerabilities in Large Language Models: In-context Learning Backdoor Attacks.,CoRR,2024,"Shuai Zhao, Meihuizi Jia, Luu Anh Tuan, Jinming Wen",abs/2401.05949,https://doi.org/10.48550/arXiv.2401.05949
Unlearning Backdoor Threats: Enhancing Backdoor Defense in Multimodal Contrastive Learning via Local Token Unlearning.,CoRR,2024,"Siyuan Liang, Kuanrong Liu, Jiajun Gong, Jiawei Liang, Yuan Xun, Ee-Chien Chang, Xiaochun Cao",abs/2403.16257,https://doi.org/10.48550/arXiv.2403.16257
VL-Trojan: Multimodal Instruction Backdoor Attacks against Autoregressive Visual Language Models.,CoRR,2024,"Jiawei Liang, Siyuan Liang, Man Luo, Aishan Liu, Dongchen Han, Ee-Chien Chang, Xiaochun Cao",abs/2402.13851,https://doi.org/10.48550/arXiv.2402.13851
WARDEN: Multi-Directional Backdoor Watermarks for Embedding-as-a-Service Copyright Protection.,CoRR,2024,"Anudeex Shetty, Yue Teng, Ke He, Qiongkai Xu",abs/2403.01472,https://doi.org/10.48550/arXiv.2403.01472
WPDA: Frequency-based Backdoor Attack with Wavelet Packet Decomposition.,CoRR,2024,"Zhengyao Song, Yongqiang Li, Danni Yuan, Li Liu, Shaokui Wei, Baoyuan Wu",abs/2401.13578,https://doi.org/10.48550/arXiv.2401.13578
Watch Out for Your Agents! Investigating Backdoor Threats to LLM-Based Agents.,CoRR,2024,"Wenkai Yang, Xiaohan Bi, Yankai Lin, Sishuo Chen, Jie Zhou, Xu Sun",abs/2402.11208,https://doi.org/10.48550/arXiv.2402.11208
Federated learning backdoor attack detection with persistence diagram.,Comput. Secur.,2024,"Zihan Ma, Tianchong Gao",136,https://doi.org/10.1016/j.cose.2023.103557
SGBA: A stealthy scapegoat backdoor attack against deep neural networks.,Comput. Secur.,2024,"Ying He, Zhili Shen, Chang Xia, Jingyu Hua, Wei Tong, Sheng Zhong 0002",136,https://doi.org/10.1016/j.cose.2023.103523
Universal adversarial backdoor attacks to fool vertical federated learning.,Comput. Secur.,2024,"Peng Chen, Xin Du, Zhihui Lu 0002, Hongfeng Chai",137,https://doi.org/10.1016/j.cose.2023.103601
"Backdoor attacks and defenses in federated learning: Survey, challenges and future research directions.",Eng. Appl. Artif. Intell.,2024,"Thuy Dung Nguyen, Tuan Nguyen, Phi Le Nguyen, Hieu H. Pham 0001, Khoa D. Doan, Kok-Seng Wong",127,https://doi.org/10.1016/j.engappai.2023.107166
Highly-Effective Backdoors for Hash Functions and Beyond.,IACR Cryptol. ePrint Arch.,2024,"Mihir Bellare, Doreen Riepel, Laura Shea",2024,https://eprint.iacr.org/2024/536
Defense Method Challenges Against Backdoor Attacks in Neural Networks.,ICAIIC,2024,"Samaneh Shamshiri, Insoo Sohn",,https://doi.org/10.1109/ICAIIC60209.2024.10463411
Detecting Backdoors Embedded in Ensembles.,ICEIC,2024,"SeokHee Kim, Changhee Hahn",,https://doi.org/10.1109/ICEIC61013.2024.10457185
Gradient-Based Clean Label Backdoor Attack to Graph Neural Networks.,ICISSP,2024,"Ryo Meguro, Hiroya Kato, Shintaro Narisada, Seira Hidano, Kazuhide Fukushima, Takuo Suganuma, Masahiro Hiji",,https://doi.org/10.5220/0012369500003648
A Comprehensive Survey on Backdoor Attacks and Their Defenses in Face Recognition Systems.,IEEE Access,2024,"Quentin Le Roux, Eric Bourbao, Yannick Teglia, Kassem Kallas",12,https://doi.org/10.1109/ACCESS.2024.3382584
"Backdoor Attacks to Deep Neural Networks: A Survey of the Literature, Challenges, and Future Research Directions.",IEEE Access,2024,"Orson Mengara, Anderson R. Avila, Tiago H. Falk",12,https://doi.org/10.1109/ACCESS.2024.3355816
Defending Against Backdoor Attacks by Quarantine Training.,IEEE Access,2024,"Chengxu Yu, Yulai Zhang",12,https://doi.org/10.1109/ACCESS.2024.3354385
Effective Backdoor Attack on Graph Neural Networks in Spectral Domain.,IEEE Internet Things J.,2024,"Xiangyu Zhao, Hanzhou Wu, Xinpeng Zhang 0001",11,https://doi.org/10.1109/JIOT.2023.3332848
Enrollment-Stage Backdoor Attacks on Speaker Recognition Systems via Adversarial Ultrasound.,IEEE Internet Things J.,2024,"Xinfeng Li, Junning Ze, Chen Yan 0001, Yushi Cheng, Xiaoyu Ji 0001, Wenyuan Xu 0001",11,https://doi.org/10.1109/JIOT.2023.3328253
MITDBA: Mitigating Dynamic Backdoor Attacks in Federated Learning for IoT Applications.,IEEE Internet Things J.,2024,"Yongkang Wang, Di-Hua Zhai, Dongyu Han, Yuyin Guan, Yuanqing Xia",11,https://doi.org/10.1109/JIOT.2023.3325634
A Spatiotemporal Backdoor Attack Against Behavior-Oriented Decision Makers in Metaverse: From Perspective of Autonomous Driving.,IEEE J. Sel. Areas Commun.,2024,"Yinbo Yu, Jiajia Liu 0001, Hongzhi Guo, Bomin Mao, Nei Kato",42,https://doi.org/10.1109/JSAC.2023.3345379
Link-Backdoor: Backdoor Attack on Link Prediction via Node Injection.,IEEE Trans. Comput. Soc. Syst.,2024,"Haibin Zheng, Haiyang Xiong, Haonan Ma, Guohan Huang, Jinyin Chen",11,https://doi.org/10.1109/TCSS.2023.3260833
Motif-Backdoor: Rethinking the Backdoor Attack on Graph Neural Networks via Motifs.,IEEE Trans. Comput. Soc. Syst.,2024,"Haibin Zheng, Haiyang Xiong, Jinyin Chen, Haonan Ma, Guohan Huang",11,https://doi.org/10.1109/TCSS.2023.3267094
"Incremental Learning, Incremental Backdoor Threats.",IEEE Trans. Dependable Secur. Comput.,2024,"Wenbo Jiang, Tianwei Zhang 0004, Han Qiu 0001, Hongwei Li 0001, Guowen Xu",21,https://doi.org/10.1109/TDSC.2022.3201234
BadCM: Invisible Backdoor Attack Against Cross-Modal Learning.,IEEE Trans. Image Process.,2024,"Zheng Zhang 0006, Xu Yuan 0007, Lei Zhu 0002, Jingkuan Song, Liqiang Nie",33,https://doi.org/10.1109/TIP.2024.3378918
PerVK: A Robust Personalized Federated Framework to Defend Against Backdoor Attacks for IoT Applications.,IEEE Trans. Ind. Informatics,2024,"Yongkang Wang, Di-Hua Zhai, Yuanqing Xia, Danyang Liu",20,https://doi.org/10.1109/TII.2023.3329688
Untargeted Backdoor Attack Against Deep Neural Networks With Imperceptible Trigger.,IEEE Trans. Ind. Informatics,2024,"Mingfu Xue, Yinghao Wu, Shifeng Ni, Leo Yu Zhang, Yushu Zhang, Weiqiang Liu 0001",20,https://doi.org/10.1109/TII.2023.3329641
Backdoor Attack Against Split Neural Network-Based Vertical Federated Learning.,IEEE Trans. Inf. Forensics Secur.,2024,"Ying He, Zhili Shen, Jingyu Hua, Qixuan Dong, Jiacheng Niu, Wei Tong, Xu Huang, Chen Li, Sheng Zhong 0002",19,https://doi.org/10.1109/TIFS.2023.3327853
