,pub_time,title,author,info
24,2024,"Incremental Learning, Incremental Backdoor Threats","Wenbo Jiang, Tianwei Zhang, Han Qiu, Hongwei Li, Guowen Xu",IEEE Trans. Dependable Secur. Comput. 21(2): 559-572 (2024)
25,2024,Privacy-Enhancing and Robust Backdoor Defense for Federated Learning on Heterogeneous Data,"Zekai Chen, Shengxing Yu, Mingyuan Fan, Ximeng Liu, Robert H. Deng",IEEE Trans. Inf. Forensics Secur. 19: 693-707 (2024)
26,2024,Backdoor Attack on Deep Learning-Based Medical Image Encryption and Decryption Network,"Yi Ding, Zi Wang, Zhen Qin, Erqiang Zhou, Guobin Zhu, Zhiguang Qin, Kim-Kwang Raymond Choo",IEEE Trans. Inf. Forensics Secur. 19: 280-292 (2024)
27,2024,MBA: Backdoor Attacks Against 3D Mesh Classifier,"Linkun Fan, Fazhi He, Tongzhen Si, Rubin Fan, Chuanlong Ye, Bing Li",IEEE Trans. Inf. Forensics Secur. 19: 2127-2142 (2024)
28,2024,Imperceptible and Robust Backdoor Attack in 3D Point Cloud,"Kuofeng Gao, Jiawang Bai, Baoyuan Wu, Mengxi Ya, Shu-Tao Xia",IEEE Trans. Inf. Forensics Secur. 19: 1267-1282 (2024)
29,2024,Universal Detection of Backdoor Attacks via Density-Based Clustering and Centroids Analysis,"Wei Guo, Benedetta Tondi, Mauro Barni",IEEE Trans. Inf. Forensics Secur. 19: 970-984 (2024)
30,2024,Verifying in the Dark: Verifiable Machine Unlearning by Using Invisible Backdoor Triggers,"Yu Guo, Yu Zhao, Saihui Hou, Cong Wang, Xiaohua Jia",IEEE Trans. Inf. Forensics Secur. 19: 708-721 (2024)
31,2024,Backdoor Attack Against Split Neural Network-Based Vertical Federated Learning,"Ying He, Zhili Shen, Jingyu Hua, Qixuan Dong, Jiacheng Niu, Wei Tong, Xu Huang, Chen Li, Sheng Zhong",IEEE Trans. Inf. Forensics Secur. 19: 748-763 (2024)
32,2024,NTD: Non-Transferability Enabled Deep Learning Backdoor Detection,"Yinshan Li, Hua Ma, Zhi Zhang, Yansong Gao, Alsharif Abuadbba, Minhui Xue, Anmin Fu, Yifeng Zheng, Said F. Al-Sarawi, Derek Abbott",IEEE Trans. Inf. Forensics Secur. 19: 104-119 (2024)
33,2024,On Model Outsourcing Adaptive Attacks to Deep Learning Backdoor Defenses,"Huaibing Peng, Huming Qiu, Hua Ma, Shuo Wang, Anmin Fu, Said F. Al-Sarawi, Derek Abbott, Yansong Gao",IEEE Trans. Inf. Forensics Secur. 19: 2356-2369 (2024)
34,2024,Toward a Critical Evaluation of Robustness for Deep Learning Backdoor Countermeasures,"Huming Qiu, Hua Ma, Zhi Zhang, Alsharif Abuadbba, Wei Kang, Anmin Fu, Yansong Gao",IEEE Trans. Inf. Forensics Secur. 19: 455-468 (2024)
35,2024,Invisible Backdoor Attack With Dynamic Triggers Against Person Re-Identification,"Wenli Sun, Xinyang Jiang, Shuguang Dou, Dongsheng Li, Duoqian Miao, Cheng Deng, Cairong Zhao",IEEE Trans. Inf. Forensics Secur. 19: 307-319 (2024)
36,2024,PerVK: A Robust Personalized Federated Framework to Defend Against Backdoor Attacks for IoT Applications,"Yongkang Wang, Di-Hua Zhai, Yuanqing Xia, Danyang Liu",IEEE Trans. Ind. Informatics 20(3): 4930-4939 (2024)
37,2024,Untargeted Backdoor Attack Against Deep Neural Networks With Imperceptible Trigger,"Mingfu Xue, Yinghao Wu, Shifeng Ni, Leo Yu Zhang, Yushu Zhang, Weiqiang Liu",IEEE Trans. Ind. Informatics 20(3): 5004-5013 (2024)
38,2024,BadCM: Invisible Backdoor Attack Against Cross-Modal Learning,"Zheng Zhang, Xu Yuan, Lei Zhu, Jingkuan Song, Liqiang Nie",IEEE Trans. Image Process. 33: 2558-2571 (2024)
39,2024,Watermarking in Secure Federated Learning: A Verification Framework Based on Client-Side Backdooring,"Wenyuan Yang, Shuo Shao, Yue Yang, Xiyao Liu, Ximeng Liu, Zhihua Xia, Gerald Schaefer, Hui Fang",ACM Trans. Intell. Syst. Technol. 15(1): 5:1-5:25 (2024)
40,2024,Critical Path-Based Backdoor Detection for Deep Neural Networks,"Wei Jiang, Xiangyu Wen, Jinyu Zhan, Xupeng Wang, Ziwei Song, Chen Bian",IEEE Trans. Neural Networks Learn. Syst. 35(3): 4032-4046 (2024)
41,2024,Backdoor Learning: A Survey,"Yiming Li, Yong Jiang, Zhifeng Li, Shu-Tao Xia",IEEE Trans. Neural Networks Learn. Syst. 35(1): 5-22 (2024)
42,2024,Dyn-Backdoor: Backdoor Attack on Dynamic Link Prediction,"Jinyin Chen, Haiyang Xiong, Haibin Zheng, Jian Zhang, Yi Liu",IEEE Trans. Netw. Sci. Eng. 11(1): 525-542 (2024)
43,2024,Stealthy Backdoor Attack for Code Models,"Zhou Yang, Bowen Xu, Jie M. Zhang, Hong Jin Kang, Jieke Shi, Junda He, David Lo",IEEE Trans. Software Eng. 50(4): 721-741 (2024)
44,2024,BadSAM: Exploring Security Vulnerabilities of SAM via Backdoor Attacks (Student Abstract),"Zihan Guan, Mengxuan Hu, Zhongliang Zhou, Jielu Zhang, Sheng Li, Ninghao Liu",AAAI 2024: 23506-23507
45,2024,Personalization as a Shortcut for Few-Shot Backdoor Attack against Text-to-Image Diffusion Models,"Yihao Huang, Felix Juefei-Xu, Qing Guo, Jie Zhang, Yutong Wu, Ming Hu, Tianlin Li, Geguang Pu, Yang Liu",AAAI 2024: 21169-21178
46,2024,Elijah: Eliminating Backdoors Injected in Diffusion Models via Distribution Shift,"Shengwei An, Sheng-Yen Chou, Kaiyuan Zhang, Qiuling Xu, Guanhong Tao, Guangyu Shen, Siyuan Cheng, Shiqing Ma, Pin-Yu Chen, Tsung-Yi Ho, Xiangyu Zhang",AAAI 2024: 10847-10855
47,2024,Progressive Poisoned Data Isolation for Training-Time Backdoor Defense,"Yiming Chen, Haiwei Wu, Jiantao Zhou",AAAI 2024: 11425-11433
48,2024,BadRL: Sparse Targeted Backdoor Attack against Reinforcement Learning,"Jing Cui, Yufei Han, Yuzhe Ma, Jianbin Jiao, Junge Zhang",AAAI 2024: 11687-11694
49,2024,Conditional Backdoor Attack via JPEG Compression,"Qiuyu Duan, Zhongyun Hua, Qing Liao, Yushu Zhang, Leo Yu Zhang",AAAI 2024: 19823-19831
50,2024,Invisible Backdoor Attack against 3D Point Cloud Classifier in Graph Spectral Domain,"Linkun Fan, Fazhi He, Tongzhen Si, Wei Tang, Bing Li",AAAI 2024: 21072-21080
51,2024,Backdoor Adjustment via Group Adaptation for Debiased Coupon Recommendations,"Junpeng Fang, Gongduo Zhang, Qing Cui, Caizhi Tang, Lihong Gu, Longfei Li, Jinjie Gu, Jun Zhou",AAAI 2024: 11944-11952
52,2024,A Dual Stealthy Backdoor: From Both Spatial and Frequency Perspectives,"Yudong Gao, Honglong Chen, Peng Sun, Junjian Li, Anqing Zhang, Zhibo Wang, Weifeng Liu",AAAI 2024: 1851-1859
53,2024,COMBAT: Alternated Training for Effective Clean-Label Backdoor Attacks,"Tran Huynh, Dang Nguyen, Tung Pham, Anh Tran",AAAI 2024: 2436-2444
54,2024,Temporal-Distributed Backdoor Attack against Video Based Action Recognition,"Xi Li, Songhe Wang, Ruiquan Huang, Mahanth Gowda, George Kesidis",AAAI 2024: 3199-3207
55,2024,Does Few-Shot Learning Suffer from Backdoor Attacks,"Xinwei Liu, Xiaojun Jia, Jindong Gu, Yuan Xun, Siyuan Liang, Xiaochun Cao",AAAI 2024: 19893-19901
56,2024,Backdoor Attacks via Machine Unlearning,"Zihao Liu, Tianhao Wang, Mengdi Huai, Chenglin Miao",AAAI 2024: 14115-14123
57,2024,Beyond Traditional Threats: A Persistent Backdoor Attack on Federated Learning,"Tao Liu, Yuhang Zhang, Zhu Feng, Zhiqin Yang, Chen Xu, Dapeng Man, Wu Yang",AAAI 2024: 21359-21367
58,2024,Resisting Backdoor Attacks in Federated Learning via Bidirectional Elections and Individual Perspective,"Zhen Qin, Feiyi Chen, Chen Zhi, Xueqiang Yan, Shuiguang Deng",AAAI 2024: 14677-14685
59,2024,Inspecting Prediction Confidence for Detecting Black-Box Backdoor Attacks,"Tong Wang, Yuan Yao, Feng Xu, Miao Xu, Shengwei An, Ting Wang",AAAI 2024: 274-282
60,2024,Chronic Poisoning: Backdoor Attack against Split Learning,"Fangchao Yu, Bo Zeng, Kai Zhao, Zhi Pang, Lina Wang",AAAI 2024: 16531-16538
61,2024,UMA: Facilitating Backdoor Scanning via Unlearning-Based Model Ablation,"Yue Zhao, Congyi Li, Kai Chen",AAAI 2024: 21823-21831
62,2024,DataElixir: Purifying Poisoned Dataset to Mitigate Backdoor Attacks via Diffusion Models,"Jiachen Zhou, Peizhuo Lv, Yibing Lan, Guozhu Meng, Kai Chen, Hualong Ma",AAAI 2024: 21850-21858
63,2024,SEER: Backdoor Detection for Vision-Language Models through Searching Target Text and Image Trigger Jointly,"Liuwan Zhu, Rui Ning, Jiang Li, Chunsheng Xin, Hongyi Wu",AAAI 2024: 7766-7774
64,2024,Optimal Smoothing Distribution Exploration for Backdoor Neutralization in Deep Learning-based Traffic Systems,"Yue Wang, Wenqing Li, Michail Maniatakos, Saif Eddin Jabari",ANZCC 2024: 115-120
65,2024,Backdoor Attacks and Generative Model Fairness: Current Trends and Future Research Directions,"Ryan Holland, Shantanu Pal, Lei Pan, Leo Yu Zhang",COMSNETS 2024: 31-36
66,2024,Detecting Backdoors Embedded in Ensembles,"SeokHee Kim, Changhee Hahn",ICEIC 2024: 1-3
67,2024,Defense Method Challenges Against Backdoor Attacks in Neural Networks,"Samaneh Shamshiri, Insoo Sohn",ICAIIC 2024: 396-400
68,2024,Gradient-Based Clean Label Backdoor Attack to Graph Neural Networks,"Ryo Meguro, Hiroya Kato, Shintaro Narisada, Seira Hidano, Kazuhide Fukushima, Takuo Suganuma, Masahiro Hiji",ICISSP 2024: 510-521
69,2024,Backdoor Attack Against One-Class Sequential Anomaly Detection Models,"He Cheng, Shuhan Yuan",PAKDD (3) 2024: 262-274
70,2024,Unveiling Backdoor Risks Brought by Foundation Models in Heterogeneous Federated Learning,"Xi Li, Chen Wu, Jiaqi Wang",PAKDD (3) 2024: 168-181
71,2024,On the Possibility of a Backdoor in the Micali-Schnorr Generator,"Hannah Davis, Matthew D. Green, Nadia Heninger, Keegan Ryan, Adam Suhl",Public Key Cryptography (1) 2024: 352-386
72,2023,On the Possibility of a Backdoor in the Micali-Schnorr Generator,"Hannah Davis, Matthew Green, Nadia Heninger, Keegan Ryan, Adam Suhl",IACR Cryptol. ePrint Arch. 2023: 440 (2023)
73,2024,A Closer Look at Robustness of Vision Transformers to Backdoor Attacks,"Akshayvarun Subramanya, Soroush Abbasi Koohpayegani, Aniruddha Saha, Ajinkya Tejankar, Hamed Pirsiavash",WACV 2024: 3862-3871
74,2024,SSL-OTA: Unveiling Backdoor Threats in Self-Supervised Learning for Object Detection,"Qiannan Wang, Changchun Yin, Liming Fang, Lu Zhou, Zhe Liu, Run Wang, Chenhao Lin",CoRR abs/2401.00137 (2024)
75,2024,A clean-label graph backdoor attack method in node classification task,"Xiaogang Xing, Ming Xu, Yujing Bai, Dongdong Yang",CoRR abs/2401.00163 (2024)
76,2024,Is It Possible to Backdoor Face Forgery Detection with Natural Triggers,"Xiaoxuan Han, Songlin Yang, Wei Wang, Ziwen He, Jing Dong",CoRR abs/2401.00414 (2024)
77,2024,Imperio: Language-Guided Backdoor Attacks for Arbitrary Model Control,"Ka Ho Chow, Wenqi Wei, Lei Yu",CoRR abs/2401.01085 (2024)
78,2024,The Art of Deception: Robust Backdoor Attack using Dynamic Stacking of Triggers,Orson Mengara,CoRR abs/2401.01537 (2024)
79,2024,Backdoor Attack on Unpaired Medical Image-Text Foundation Models: A Pilot Study on MedCLIP,"Ruinan Jin, Chun-Yin Huang, Chenyu You, Xiaoxiao Li",CoRR abs/2401.01911 (2024)
80,2024,Spy-Watermark: Robust Invisible Watermarking for Backdoor Attack,"Ruofei Wang, Renjie Wan, Zongyu Guo, Qing Guo, Rui Huang",CoRR abs/2401.02031 (2024)
81,2022,Object-Oriented Backdoor Attack Against Image Captioning,"Meiling Li, Nan Zhong, Xinpeng Zhang, Zhenxing Qian, Sheng Li",ICASSP 2022: 2864-2868
82,2024,MalModel: Hiding Malicious Payload in Mobile Deep Learning Models with Black-box Backdoor Attack,"Jiayi Hua, Kailong Wang, Meizhen Wang, Guangdong Bai, Xiapu Luo, Haoyu Wang",CoRR abs/2401.02659 (2024)
83,2024,A backdoor attack against link prediction tasks with graph neural networks,"Jiazhu Dai, Haoyu Sun",CoRR abs/2401.02663 (2024)
84,2024,End-to-End Anti-Backdoor Learning on Images and Time Series,"Yujing Jiang, Xingjun Ma, Sarah Monazam Erfani, Yige Li, James Bailey",CoRR abs/2401.03215 (2024)
85,2024,"The Stronger the Diffusion Model, the Easier the Backdoor: Data Poisoning to Induce Copyright Breaches Without Adjusting Finetuning Pipeline","Haonan Wang, Qianli Shen, Yao Tong, Yang Zhang, Kenji Kawaguchi",CoRR abs/2401.04136 (2024)
86,2024,TEN-GUARD: Tensor Decomposition for Backdoor Attack Detection in Deep Neural Networks,"Khondoker Murad Hossain, Tim Oates",CoRR abs/2401.05432 (2024)
87,2024,Universal Vulnerabilities in Large Language Models: In-context Learning Backdoor Attacks,"Shuai Zhao, Meihuizi Jia, Luu Anh Tuan, Jinming Wen",CoRR abs/2401.05949 (2024)
88,2024,Can We Trust the Unlabeled Target Data? Towards Backdoor Attack and Defense on Model Adaptation,"Lijun Sheng, Jian Liang, Ran He, Zilei Wang, Tieniu Tan",CoRR abs/2401.06030 (2024)
89,2024,Learning Backdoors for Mixed Integer Programs with Contrastive Learning,"Junyang Cai, Taoan Huang, Bistra Dilkina",CoRR abs/2401.10467 (2024)
90,2024,BadChain: Backdoor Chain-of-Thought Prompting for Large Language Models,"Zhen Xiang, Fengqing Jiang, Zidi Xiong, Bhaskar Ramasubramanian, Radha Poovendran, Bo Li",CoRR abs/2401.12242 (2024)
91,2024,WPDA: Frequency-based Backdoor Attack with Wavelet Packet Decomposition,"Zhengyao Song, Yongqiang Li, Danni Yuan, Li Liu, Shaokui Wei, Baoyuan Wu",CoRR abs/2401.13578 (2024)
92,2024,BackdoorBench: A Comprehensive Benchmark and Analysis of Backdoor Learning,"Baoyuan Wu, Hongrui Chen, Mingda Zhang, Zihao Zhu, Shaokui Wei, Danni Yuan, Mingli Zhu, Ruotong Wang, Li Liu, Chao Shen",CoRR abs/2401.15002 (2024)
93,2024,"Multi-Trigger Backdoor Attacks: More Triggers, More Threats","Yige Li, Xingjun Ma, Jiabo He, Hanxun Huang, Yu-Gang Jiang",CoRR abs/2401.15295 (2024)
94,2024,TransTroj: Transferable Backdoor Attacks to Pre-trained Models via Embedding Indistinguishability,"Hao Wang, Tao Xiang, Shangwei Guo, Jialing He, Hangcheng Liu, Tianwei Zhang",CoRR abs/2401.15883 (2024)
95,2024,Universal Post-Training Reverse-Engineering Defense Against Backdoors in Deep Neural Networks,"Xi Li, Hang Wang, David J. Miller, George Kesidis",CoRR abs/2402.02034 (2024)
96,2024,DisDet: Exploring Detectability of Backdoor Attack on Diffusion Models,"Yang Sui, Huy Phan, Jinqi Xiao, Tianfang Zhang, Zijie Tang, Cong Shi, Yan Wang, Yingying Chen, Bo Yuan",CoRR abs/2402.02739 (2024)
97,2024,Time-Distributed Backdoor Attacks on Federated Spiking Learning,"Gorka Abad, Stjepan Picek, Aitor Urbieta",CoRR abs/2402.02886 (2024)
98,2024,The last Dance : Robust backdoor attack via diffusion models and bayesian approach,Orson Mengara,CoRR abs/2402.05967 (2024)
99,2024,Architectural Neural Backdoors from First Principles,"Harry Langford, Ilia Shumailov, Yiren Zhao, Robert D. Mullins, Nicolas Papernot",CoRR abs/2402.06957 (2024)
100,2024,OrderBkd: Textual backdoor attack through repositioning,"Irina Alekseevskaia, Konstantin Arkhipenko",CoRR abs/2402.07689 (2024)
101,2024,Test-Time Backdoor Attacks on Multimodal Large Language Models,"Dong Lu, Tianyu Pang, Chao Du, Qian Liu, Xianjun Yang, Min Lin",CoRR abs/2402.08577 (2024)
102,2024,Watch Out for Your Agents! Investigating Backdoor Threats to LLM-Based Agents,"Wenkai Yang, Xiaohan Bi, Yankai Lin, Sishuo Chen, Jie Zhou, Xu Sun",CoRR abs/2402.11208 (2024)
103,2024,Poisoned Forgery Face: Towards Backdoor Attacks on Face Forgery Detection,"Jiawei Liang, Siyuan Liang, Aishan Liu, Xiaojun Jia, Junhao Kuang, Xiaochun Cao",CoRR abs/2402.11473 (2024)
104,2024,Acquiring Clean Language Models from Backdoor Poisoned Datasets by Downscaling Frequency Space,"Zongru Wu, Zhuosheng Zhang, Pengzhou Cheng, Gongshen Liu",CoRR abs/2402.12026 (2024)
105,2024,Defending Against Weight-Poisoning Backdoor Attacks for Parameter-Efficient Fine-Tuning,"Shuai Zhao, Leilei Gan, Luu Anh Tuan, Jie Fu, Lingjuan Lyu, Meihuizi Jia, Jinming Wen",CoRR abs/2402.12168 (2024)
106,2024,Backdoor Attacks on Dense Passage Retrievers for Disseminating Misinformation,"Quanyu Long, Yue Deng, Leilei Gan, Wenya Wang, Sinno Jialin Pan",CoRR abs/2402.13532 (2024)
107,2024,VL-Trojan: Multimodal Instruction Backdoor Attacks against Autoregressive Visual Language Models,"Jiawei Liang, Siyuan Liang, Man Luo, Aishan Liu, Dongchen Han, Ee-Chien Chang, Xiaochun Cao",CoRR abs/2402.13851 (2024)
108,2024,Mitigating Fine-tuning Jailbreak Attack with Backdoor Enhanced Alignment,"Jiongxiao Wang, Jiazhao Li, Yiquan Li, Xiangyu Qi, Junjie Hu, Yixuan Li, Patrick McDaniel, Muhao Chen, Bo Li, Chaowei Xiao",CoRR abs/2402.14968 (2024)
109,2024,Mudjacking: Patching Backdoor Vulnerabilities in Foundation Models,"Hongbin Liu, Michael K. Reiter, Neil Zhenqiang Gong",CoRR abs/2402.14977 (2024)
110,2024,Low-Frequency Black-Box Backdoor Attack via Evolutionary Algorithm,"Yanqi Qiao, Dazhuang Liu, Rui Wang, Kaitai Liang",CoRR abs/2402.15653 (2024)
111,2024,On the (In)feasibility of ML Backdoor Detection as an Hypothesis Testing Problem,"Georg Pichler, Marco Romanelli, Divya Prakash Manivannan, Prashanth Krishnamurthy, Farshad Khorrami, Siddharth Garg",CoRR abs/2402.16926 (2024)
112,2024,Model X-ray: Detect Backdoored Models via Decision Boundary,"Yanghao Su, Jie Zhang, Ting Xu, Tianwei Zhang, Weiming Zhang, Nenghai Yu",CoRR abs/2402.17465 (2024)
113,2024,Model Pairing Using Embedding Translation for Backdoor Attack Detection on Open-Set Classification Tasks,"Alexander Unnervik, Hatef Otroshi-Shahreza, Anjith George, Sébastien Marcel",CoRR abs/2402.18718 (2024)
114,2024,Syntactic Ghost: An Imperceptible General-purpose Backdoor Attacks on Pre-trained Language Models,"Pengzhou Cheng, Wei Du, Zongru Wu, Fengwei Zhang, Libo Chen, Gongshen Liu",CoRR abs/2402.18945 (2024)
115,2024,Here's a Free Lunch: Sanitizing Backdoored Models with Model Merge,"Ansh Arora, Xuanli He, Maximilian Mozes, Srinibas Swain, Mark Dras, Qiongkai Xu",CoRR abs/2402.19334 (2024)
116,2024,WARDEN: Multi-Directional Backdoor Watermarks for Embedding-as-a-Service Copyright Protection,"Anudeex Shetty, Yue Teng, Ke He, Qiongkai Xu",CoRR abs/2403.01472 (2024)
117,2024,A general approach to enhance the survivability of backdoor attacks by decision path coupling,"Yufei Zhao, Dingji Wang, Bihuan Chen, Ziqian Chen, Xin Peng",CoRR abs/2403.02950 (2024)
118,2024,On the Effectiveness of Distillation in Mitigating Backdoors in Pre-trained Encoder,"Tingxu Han, Shenghan Huang, Ziqi Ding, Weisong Sun, Yebo Feng, Chunrong Fang, Jun Li, Hanwei Qian, Cong Wu, Quanjun Zhang, Yang Liu, Zhenyu Chen",CoRR abs/2403.03846 (2024)
119,2024,MirrorAttack: Backdoor Attack on 3D Point Cloud with a Distorting Mirror,"Yuhao Bian, Shengjing Tian, Xiuping Liu",CoRR abs/2403.05847 (2024)
120,2024,AS-FIBA: Adaptive Selective Frequency-Injection for Backdoor Attack on Deep Face Restoration,"Zhenbo Song, Wenhao Gao, Kaihao Zhang, Wenhan Luo, Zhaoxin Fan, Jianfeng Lu",CoRR abs/2403.06430 (2024)
121,2024,Real is not True: Backdoor Attacks Against Deepfake Detection,"Hong Sun, Ziqiang Li, Lei Liu, Bin Li",CoRR abs/2403.06610 (2024)
122,2024,Backdoor Attack with Mode Mixture Latent Modification,"Hongwei Zhang, Xiaoyin Xu, Dongsheng An, Xianfeng Gu, Min Zhang",CoRR abs/2403.07463 (2024)
123,2024,Advancing Security in AI Systems: A Novel Approach to Detecting Backdoors in Deep Neural Networks,"Khondoker Murad Hossain, Tim Oates",CoRR abs/2403.08208 (2024)
124,2024,REPQC: Reverse Engineering and Backdooring Hardware Accelerators for Post-quantum Cryptography,"Samuel Pagliarini, Aikata, Malik Imran, Sujoy Sinha Roy",CoRR abs/2403.09352 (2024)
125,2024,Backdoor Secrets Unveiled: Identifying Backdoor Data with Optimized Scaled Prediction Consistency,"Soumyadeep Pal, Yuguang Yao, Ren Wang, Bingquan Shen, Sijia Liu",CoRR abs/2403.10717 (2024)
126,2024,Impart: An Imperceptible and Effective Label-Specific Backdoor Attack,"Jingke Zhao, Zan Wang, Yongwei Wang, Lanjun Wang",CoRR abs/2403.13017 (2024)
127,2024,Invisible Backdoor Attack Through Singular Value Decomposition,"Wenmin Chen, Xiaowei Xu",CoRR abs/2403.13018 (2024)
128,2024,BadEdit: Backdooring large language models by model editing,"Yanzhou Li, Tianlin Li, Kangjie Chen, Jian Zhang, Shangqing Liu, Wenhan Wang, Tianwei Zhang, Yang Liu",CoRR abs/2403.13355 (2024)
129,2024,Clean-image Backdoor Attacks,"Dazhong Rong, Guoyao Yu, Shuheng Shen, Xinyi Fu, Peng Qian, Jianhai Chen, Qinming He, Xing Fu, Weiqiang Wang",CoRR abs/2403.15010 (2024)
130,2024,An Embarrassingly Simple Defense Against Backdoor Attacks On SSL,"Aryan Satpathy, Nilaksh Nilaksh, Dhruva Rajwade",CoRR abs/2403.15918 (2024)
131,2024,Unlearning Backdoor Threats: Enhancing Backdoor Defense in Multimodal Contrastive Learning via Local Token Unlearning,"Siyuan Liang, Kuanrong Liu, Jiajun Gong, Jiawei Liang, Yuan Xun, Ee-Chien Chang, Xiaochun Cao",CoRR abs/2403.16257 (2024)
132,2024,Generating Potent Poisons and Backdoors from Scratch with Guided Diffusion,"Hossein Souri, Arpit Bansal, Hamid Kazemi, Liam Fowl, Aniruddha Saha, Jonas Geiping, Andrew Gordon Wilson, Rama Chellappa, Tom Goldstein, Micah Goldblum",CoRR abs/2403.16365 (2024)
